Rk.,Team,Venue,Day_Night,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
19, Braves,Truist Park,night,2026,97,95,98,98,100,100,94,97,104,110,101,94,84,89,92,"5,770"
20, Red Sox,Fenway Park,night,2026,96,95,93,97,95,90,92,97,98,101,97,129,82,91,98,"4,731"
21, Tigers,Comerica Park,night,2026,96,96,92,98,96,95,92,98,97,107,71,192,85,100,106,"5,604"
22, Guardians,Progressive Field,night,2026,96,94,100,97,101,101,92,99,96,103,81,71,85,105,101,"4,682"
23, Brewers,American Family Field,night,2026,95,96,94,97,96,91,90,97,94,99,84,53,90,110,106,"5,529"
24, Cubs,Wrigley Field,night,2026,95,92,94,93,97,96,90,97,95,102,66,190,94,108,95,"4,281"
25, Marlins,loanDepot park,night,2026,95,95,93,96,96,97,90,97,96,97,101,165,77,94,103,"5,479"
26, Cardinals,Busch Stadium,night,2026,95,90,100,96,103,107,90,99,102,111,108,58,58,91,89,"5,656"
27, Angels,Angel Stadium,night,2026,93,95,101,98,100,99,86,96,95,101,90,117,74,89,110,"6,654"
28, Padres,Petco Park,night,2026,92,89,101,91,101,95,85,95,90,94,83,89,80,116,101,"6,227"
29, Dodgers,UNIQLO Field at Dodger Stadium,night,2026,92,95,100,93,101,102,85,90,92,91,84,25,118,85,111,"6,486"
30, Rangers,Globe Life Field,night,2026,91,89,95,87,94,94,83,90,90,87,86,54,109,82,92,"5,534"
